RESPNUM,year
2401,2016
1559,2016
1561,2016
3045,2016
837,2016
2880,2016
1535,2016
1296,2016
409,2016
120,2016
2881,2016
2785,2016
1389,2016
1770,2016
1190,2016
354,2016
384,2016
377,2016
207,2016
266,2016
1343,2016
2752,2016
1087,2016
2434,2016
527,2016
1435,2016
2817,2016
863,2016
509,2016
772,2016
90,2016
2964,2016
696,2016
701,2016
2958,2016
2267,2016
1521,2016
2823,2016
1411,2016
2744,2016
1383,2016
1254,2016
2999,2016
1059,2016
872,2016
2601,2016
1223,2016
2340,2016
1499,2016
2442,2016
1175,2016
2397,2016
943,2016
1271,2016
211,2016
2063,2016
1565,2016
718,2016
367,2016
2873,2016
1581,2016
1380,2016
2863,2016
788,2016
414,2016
1606,2016
1413,2016
67,2016
2980,2016
2728,2016
413,2016
576,2016
3,2016
773,2016
1980,2016
2921,2016
2712,2016
1352,2016
1635,2016
1405,2016
1906,2016
1783,2016
944,2016
2507,2016
730,2016
2663,2016
114,2016
2337,2016
1289,2016
2299,2016
775,2015
3019,2015
1897,2015
540,2015
417,2015
102,2015
1297,2015
2031,2015
1004,2015
1371,2015
2856,2015
1601,2015
1889,2015
900,2015
2493,2015
1706,2015
2807,2015
1779,2015
1120,2015
617,2015
1106,2015
1703,2015
2431,2015
1073,2015
2909,2015
2877,2015
2666,2015
123,2015
885,2015
2466,2015
507,2015
716,2015
1132,2015
1354,2015
1611,2015
1917,2015
2159,2015
767,2015
1487,2015
1543,2015
962,2015
547,2015
1551,2015
1448,2015
111,2015
757,2015
2829,2015
1990,2015
812,2015
2488,2015
1677,2015
1433,2015
1926,2015
961,2015
24,2015
2548,2015
1483,2015
1718,2015
140,2015
1845,2015
1075,2015
195,2015
712,2015
216,2015
315,2015
156,2015
982,2015
3016,2015
1456,2015
2610,2015
1436,2015
1085,2015
1071,2015
3,2015
1110,2015
1916,2015
184,2015
873,2015
1276,2015
2636,2015
2887,2015
466,2015
1867,2015
275,2015
2941,2015
923,2015
2859,2015
2739,2015
2447,2015
447,2015
